d_sh_empl,d_sh_empl_mfg,d_sh_empl_nmfg,shock,IV,weights,statefip,czone,t2,l_shind_manuf_cbp,l_sh_popedu_c,l_sh_popfborn,l_sh_empl_f,l_sh_routine33,l_task_outsource,division
-3.1111777,-4.9342141,1.8230349,2.78590991237252,2.62369890882406,5.9389364e-4,51,2200,FALSE,41.996918,28.922686,1.0474303,62.810009,27.382288,-0.27786818,5
-1.8688083,-3.4068658,1.5380621,1.30912336087453,1.33339157072634,8.304459e-4,51,2300,FALSE,31.683519,41.916248,2.2143834,65.354401,32.177513,-0.24836391,5
-2.1400094,-2.1051838,-0.034821033,0.569902719164153,0.513599736315426,0.0036527929,51,2400,FALSE,18.124239,51.381153,3.9736199,70.436172,32.918324,0.3395763,5
0.25699735,-2.9777787,3.2347739,0.321489719766754,0.472883571065087,0.0020520203,51,2500,FALSE,25.507122,48.874245,5.0294166,61.226662,28.272522,-0.34965271,5
-8.5401001,-6.7428513,-1.797244,0.561655609624676,2.23647266257781,5.3831463e-4,37,2600,FALSE,37.891888,29.636421,1.0459749,61.853104,29.679605,-0.10545485,5
3.3500314,-2.9800854,6.3301177,0.401336418786838,0.906480269884556,0.0015835713,28,2700,FALSE,27.122549,42.680393,3.4808629,53.499496,28.09203,-0.48728436,6
0.88166595,-1.1359692,2.0176351,2.1989096058787,2.32156303691552,4.5699137e-4,28,2800,FALSE,34.217712,32.905609,0.58313096,51.748604,25.327528,-0.66033638,6
2.3713052,-2.0869122,4.4582129,1.09405742675951,1.39222662072682,5.6911685e-4,28,2900,FALSE,24.609917,46.138054,1.7238019,53.595257,28.481775,-0.43506175,6
2.9924214,-0.2151683,3.2075882,5.35275818717327,3.27954063538945,1.6215025e-4,28,3001,FALSE,37.902023,31.045883,0.42738491,51.196243,31.079821,-0.23150681,6
-4.2649088,0.80942583,-5.074337,0.407043889891526,0.657724982061738,1.5218393e-4,28,3002,FALSE,31.606337,44.363457,1.1371589,55.627228,32.765049,0.032638833,6
